Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,vision_output_file,error
02_AI_L6_mixed,16,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,77,391,6,2,0.3883,2,0.0586,2,0,0,0,2,0.1923,72,,,,,,,,,
02_AI_L6_mixed,17,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,79,434,2,1,0.1448,2,0.088,1,0,0,0,2,0.1448,72,,,,,,,,,
02_AI_L6_mixed,18,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,8,59,2,2,1.0,6,0.9955,1,0,0,0,2,0.7111,7,,,,,,,,,
02_AI_L6_mixed,19,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,167,1225,9,0,0.0,28,0.4557,0,0,1,0,2,0.0,72,,,,,,,,,
02_AI_L6_mixed,20,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,106,735,3,1,0.0927,4,0.1128,1,0,0,0,3,0.0927,99,,,,,,,,,
02_AI_L6_mixed,21,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,59,554,3,1,0.1322,5,0.099,1,0,0,0,3,0.1322,54,,,,,,,,,
02_AI_L6_mixed,22,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,89,685,7,1,0.0946,4,0.0986,1,0,0,0,3,0.0946,84,,,,,,,,,
02_AI_L6_mixed,23,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,120,1015,7,1,0.1192,11,0.2034,0,0,0,1,2,0.0,105,,,,,,,,,
02_AI_L6_mixed,24,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,10,90,3,2,1.0,7,0.9955,1,0,0,0,2,0.7111,8,,,,,,,,,
02_AI_L6_mixed,25,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,147,1104,4,1,0.0732,7,0.1793,1,0,0,0,3,0.0323,133,,,,,,,,,
02_AI_L6_mixed,26,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,176,1307,8,1,0.0732,9,0.1438,1,0,0,0,4,0.0323,162,,,,,,,,,
02_AI_L6_mixed,27,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,121,828,5,1,0.134,7,0.5199,1,0,0,0,2,0.134,112,,,,,,,,,
02_AI_L6_mixed,28,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,98,729,2,1,0.2371,9,0.2929,1,0,0,0,2,0.1931,87,,,,,,,,,
02_AI_L6_mixed,29,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,2,67,1,1,0.9999,5,1.0,1,0,0,0,1,1.0,1,,,,,,,,,
