Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,finish_reason,vision_output_file,error
02_AI_L6_mixed,12,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,130,761,5,1,0.0881,2,0.12,1,0,0,0,5,0.0881,119,9.19,134,780,3,51,0.0556,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p012.txt,
02_AI_L6_mixed,13,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,143,833,4,0,0.0,2,0.1082,0,0,0,0,4,0.0,136,9.04,146,855,2,55,0.0351,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p013.txt,
02_AI_L6_mixed,14,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,101,588,2,2,0.3885,5,0.4108,2,0,0,0,2,0.3886,95,8.74,108,628,3,31,0.0909,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p014.txt,
02_AI_L6_mixed,15,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,134,776,3,0,0.0,2,0.116,0,0,0,0,2,0.0,129,8.65,137,792,2,47,0.0408,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p015.txt,
02_AI_L6_mixed,16,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,77,391,6,2,0.3883,2,0.0586,2,0,0,0,2,0.1923,72,9.04,98,591,12,14,0.4615,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p016.txt,
02_AI_L6_mixed,17,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,79,434,2,1,0.1448,2,0.088,1,0,0,0,2,0.1448,72,7.84,82,458,2,41,0.0465,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p017.txt,
02_AI_L6_mixed,18,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,8,59,2,2,1.0,6,0.9955,1,0,0,0,2,0.7111,7,8.30,80,447,31,5,0.8611,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p018.txt,
02_AI_L6_mixed,19,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,167,1225,9,0,0.0,28,0.4557,0,0,1,0,2,0.0,72,7.80,80,444,3,49,0.12,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p019.txt,
02_AI_L6_mixed,20,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,106,735,3,1,0.0927,4,0.1128,1,0,0,0,3,0.0927,99,10.22,207,1238,32,62,0.3765,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p020.txt,
02_AI_L6_mixed,21,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,59,554,3,1,0.1322,5,0.099,1,0,0,0,3,0.1322,54,10.14,167,1135,34,48,0.4474,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p021.txt,
02_AI_L6_mixed,22,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,89,685,7,1,0.0946,4,0.0986,1,0,0,0,3,0.0946,84,8.90,138,824,10,49,0.2128,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p022.txt,
02_AI_L6_mixed,23,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,120,1015,7,1,0.1192,11,0.2034,0,0,0,1,2,0.0,105,12.00,233,1820,41,78,0.3628,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p023.txt,
02_AI_L6_mixed,24,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,10,90,3,2,1.0,7,0.9955,1,0,0,0,2,0.7111,8,8.72,92,548,34,7,0.8293,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p024.txt,
02_AI_L6_mixed,25,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,147,1104,4,1,0.0732,7,0.1793,1,0,0,0,3,0.0323,133,8.72,109,717,1,84,0.0213,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p025.txt,
02_AI_L6_mixed,26,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,176,1307,8,1,0.0732,9,0.1438,1,0,0,0,4,0.0323,162,9.52,139,899,11,101,0.1774,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p026.txt,
02_AI_L6_mixed,27,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,121,828,5,1,0.134,7,0.5199,1,0,0,0,2,0.134,112,12.40,317,2045,39,69,0.3645,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p027.txt,
02_AI_L6_mixed,28,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,98,729,2,1,0.2371,9,0.2929,1,0,0,0,2,0.1931,87,9.04,98,754,3,53,0.0545,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p028.txt,
02_AI_L6_mixed,29,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,2,67,1,1,0.9999,5,1.0,1,0,0,0,1,1.0,1,6.89,7,105,5,9,0.4167,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p029.txt,
02_AI_L6_mixed,30,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,14,64,3,0,0.0,2,0.0145,0,0,0,0,3,0.0,13,6.76,17,84,2,6,0.25,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p030.txt,
02_AI_L6_mixed,31,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,16,135,4,1,0.2848,3,0.081,1,0,0,0,4,0.2848,15,8.19,80,523,32,12,0.7273,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p031.txt,
02_AI_L6_mixed,32,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,12,58,1,1,0.731,4,0.9548,1,0,0,0,2,0.6596,12,8.99,97,642,29,6,1.0,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p032.txt,
02_AI_L6_mixed,33,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,26,135,4,2,0.4239,7,0.1522,1,0,0,0,2,0.1267,23,7.11,29,155,2,13,0.1333,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p033.txt,
02_AI_L6_mixed,34,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,36,197,5,4,0.6065,9,0.2259,3,0,0,0,2,0.3093,32,8.80,107,728,38,18,0.6786,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p034.txt,
03_ISP_L10_image_heavy,1,,,CM3065 Lesson 10.pdf,pdf,30,9,64,2,12,1.0,2,0.6794,,,,,,,,7.75,68,427,19,8,0.7037,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p001.txt,
03_ISP_L10_image_heavy,2,,,CM3065 Lesson 10.pdf,pdf,30,8,58,1,13,1.0,2,0.9907,,,,,,,,6.87,11,76,2,6,0.25,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p002.txt,
03_ISP_L10_image_heavy,3,,,CM3065 Lesson 10.pdf,pdf,30,32,231,2,6,1.0,2,0.2611,,,,,,,,7.20,35,251,2,14,0.125,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p003.txt,
03_ISP_L10_image_heavy,4,,,CM3065 Lesson 10.pdf,pdf,30,2,12,1,13,1.0,2,0.997,,,,,,,,6.81,5,32,2,2,0.5,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p004.txt,
03_ISP_L10_image_heavy,5,,,CM3065 Lesson 10.pdf,pdf,30,25,145,3,6,1.0,2,0.2545,,,,,,,,7.10,28,164,2,15,0.1176,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p005.txt,
03_ISP_L10_image_heavy,6,,,CM3065 Lesson 10.pdf,pdf,30,51,286,2,6,1.0,2,0.2781,,,,,,,,7.83,54,307,2,27,0.069,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p006.txt,
03_ISP_L10_image_heavy,7,,,CM3065 Lesson 10.pdf,pdf,30,69,377,3,6,1.0,2,0.2825,,,,,,,,8.22,72,397,2,35,0.0541,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p007.txt,
03_ISP_L10_image_heavy,8,,,CM3065 Lesson 10.pdf,pdf,30,57,347,4,6,1.0,2,0.2789,,,,,,,,7.53,60,369,2,31,0.0606,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p008.txt,
03_ISP_L10_image_heavy,9,,,CM3065 Lesson 10.pdf,pdf,30,5,31,1,7,1.0,2,0.3797,,,,,,,,9.30,140,981,44,3,0.9362,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p009.txt,
03_ISP_L10_image_heavy,10,,,CM3065 Lesson 10.pdf,pdf,30,67,456,2,6,1.0,2,0.2989,,,,,,,,8.06,70,483,2,40,0.0476,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p010.txt,
03_ISP_L10_image_heavy,11,,,CM3065 Lesson 10.pdf,pdf,30,51,361,2,6,1.0,2,0.2814,,,,,,,,7.56,54,381,2,28,0.0667,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p011.txt,
03_ISP_L10_image_heavy,12,,,CM3065 Lesson 10.pdf,pdf,30,58,366,2,6,1.0,2,0.2821,,,,,,,,7.56,61,386,2,31,0.0606,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p012.txt,
03_ISP_L10_image_heavy,13,,,CM3065 Lesson 10.pdf,pdf,30,7,66,3,8,1.0,2,0.3574,,,,,,,,12.63,315,2048,72,4,0.9474,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p013.txt,
03_ISP_L10_image_heavy,14,,,CM3065 Lesson 10.pdf,pdf,30,58,370,2,6,1.0,2,0.2815,,,,,,,,7.76,61,404,2,32,0.0588,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p014.txt,
03_ISP_L10_image_heavy,15,,,CM3065 Lesson 10.pdf,pdf,30,34,189,2,6,1.0,2,0.2514,,,,,,,,7.33,37,217,2,14,0.125,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p015.txt,
03_ISP_L10_image_heavy,16,,,CM3065 Lesson 10.pdf,pdf,30,61,315,3,6,1.0,2,0.2749,,,,,,,,8.05,64,359,2,35,0.0541,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p016.txt,
03_ISP_L10_image_heavy,17,,,CM3065 Lesson 10.pdf,pdf,30,8,46,1,13,1.0,2,0.9923,,,,,,,,6.70,11,65,2,5,0.2857,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p017.txt,
03_ISP_L10_image_heavy,18,,,CM3065 Lesson 10.pdf,pdf,30,29,183,2,6,1.0,2,0.2493,,,,,,,,7.06,28,195,2,17,0.1053,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p018.txt,
03_ISP_L10_image_heavy,19,,,CM3065 Lesson 10.pdf,pdf,30,5,31,1,7,1.0,2,0.445,,,,,,,,6.81,8,51,2,4,0.3333,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p019.txt,
03_ISP_L10_image_heavy,20,,,CM3065 Lesson 10.pdf,pdf,30,19,131,3,7,1.0,2,0.3667,,,,,,,,9.92,164,1080,57,11,0.8382,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p020.txt,
03_ISP_L10_image_heavy,21,,,CM3065 Lesson 10.pdf,pdf,30,48,285,3,7,1.0,3,0.3359,,,,,,,,8.88,121,758,23,30,0.434,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p021.txt,
03_ISP_L10_image_heavy,22,,,CM3065 Lesson 10.pdf,pdf,30,51,279,2,7,1.0,4,0.3504,,,,,,,,10.30,193,1250,28,27,0.5091,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p022.txt,
03_ISP_L10_image_heavy,23,,,CM3065 Lesson 10.pdf,pdf,30,46,257,2,7,1.0,3,0.3464,,,,,,,,8.20,93,594,25,27,0.4808,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p023.txt,
03_ISP_L10_image_heavy,24,,,CM3065 Lesson 10.pdf,pdf,30,32,183,2,7,1.0,3,0.338,,,,,,,,8.48,95,622,23,22,0.5111,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p024.txt,
03_ISP_L10_image_heavy,25,,,CM3065 Lesson 10.pdf,pdf,30,5,37,1,13,1.0,2,0.9933,,,,,,,,6.67,8,56,2,4,0.3333,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p025.txt,
03_ISP_L10_image_heavy,26,,,CM3065 Lesson 10.pdf,pdf,30,86,621,6,6,1.0,2,0.2896,,,,,,,,8.71,86,512,2,40,0.0476,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p026.txt,
03_ISP_L10_image_heavy,27,,,CM3065 Lesson 10.pdf,pdf,30,10,75,2,6,1.0,2,0.2423,,,,,,,,6.88,13,94,2,8,0.2,qwen2.5vl:7b,stop,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p027.txt,
